City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
197,Guerrero Negro,MX,69.62,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
203,Esperance,AU,67.84,few clouds,-33.8667,121.9,Hospitality Esperance
208,Xuddur,SO,71.8,broken clouds,4.1213,43.8894,Banjanay Hotel
215,Sanchor,IN,68.5,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
218,Caravelas,BR,76.39,light rain,-17.7125,-39.2481,Pousada dos Navegantes
219,San Patricio,US,73.81,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
221,Bonthe,SL,78.26,moderate rain,7.5264,-12.505,Bonthe Holiday Village
222,Saint-Joseph,RE,71.98,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
227,Taveta,KE,69.01,scattered clouds,-3.3963,37.6736,Challa Hotel
236,Kiunga,PG,76.26,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
238,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
239,Boyolangu,ID,78.98,overcast clouds,-8.1181,111.8935,Yos ega cv
246,Jacareacanga,BR,72.61,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
247,Sambava,MG,74.8,light rain,-14.2667,50.1667,Melrose
251,Alta Floresta,BR,71.64,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
253,Canutama,BR,75.31,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
257,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
258,Matara,LK,74.53,few clouds,5.9485,80.5353,Amaloh Boutique Resort
259,Cururupu,BR,77.43,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
261,Vicente Guerrero,MX,65.59,overcast clouds,19.1194,-98.1708,Churros Inn
263,Bombay,IN,66.18,moderate rain,19.0144,72.8479,Hotel Avon Ruby-Dadar
266,Nazas,MX,72.23,broken clouds,25.2333,-104.1333,Hotel Río Nazas
267,Geraldton,AU,69.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
268,Vao,NC,76.57,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
271,Sangmelima,CM,68.92,overcast clouds,2.9333,11.9833,gamestar hotel
273,Reconquista,AR,73.04,few clouds,-29.15,-59.65,Grand Hotel
274,Quang Ngai,VN,67.93,broken clouds,15.1167,108.8,Central Hotel
275,Englewood,US,65.25,few clouds,39.6478,-104.9878,Holiday Motel
277,Ialibu,PG,71.55,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
279,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
283,Lima,PE,69.91,light rain,-12.0432,-77.0282,Gran Hotel Bolivar Lima
286,Viedma,AR,68.65,broken clouds,-40.8135,-62.9967,Hotel Cristal
293,Iquique,CL,66.24,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
295,General Pico,AR,72.72,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
298,Payo,ID,75.58,broken clouds,-3.7508,103.6372,Mess keban agung
300,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
301,Faanui,PF,77.68,heavy intensity rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Basco,PH,73.29,broken clouds,20.4487,121.9702,Nathaniel's Lodge
310,Marsh Harbour,BS,75.65,broken clouds,26.5412,-77.0636,Abaco Beach Resort
312,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
313,Tomatlan,MX,77.56,broken clouds,19.9333,-105.25,El Salvial
320,Pandan,PH,79.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
324,Jertih,MY,73.27,light rain,5.7336,102.4897,One Utama Hotel
326,Lobito,AO,76.77,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
331,Tay Ninh,VN,73.33,clear sky,11.3,106.1,Thanh Tuyền Hotel
332,Ampanihy,MG,75.15,clear sky,-24.7,44.75,Angora Hotel
333,Hualmay,PE,66.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
334,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
335,Banyo,CM,69.57,broken clouds,6.75,11.8167,Motel JOMBA
341,Vangaindrano,MG,72.77,light rain,-23.35,47.6,Hotel Fanilo
344,Nata,PA,73.69,overcast clouds,8.3333,-80.5167,Rey David
348,Bengkulu,ID,77.86,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
352,Talipan,PH,78.1,overcast clouds,13.9333,121.6833,Silangang Nayon Park and Restaurant
354,Moerai,PF,78.03,overcast clouds,-22.4333,-151.3333,Le Manotel
357,Sertania,BR,77.79,overcast clouds,-8.0736,-37.2644,Hotel Esperança
360,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
369,Lompoc,US,76.1,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
385,Singaraja,ID,79.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
391,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
393,Bandundu,CD,70.29,overcast clouds,-3.3167,17.3667,Coja Color
394,Paragominas,BR,78.48,broken clouds,-2.9667,-47.4833,INOVA
396,Coromandel,BR,68.76,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
401,Antalaha,MG,73.09,light rain,-14.9003,50.2788,Hotel Vitasoa
402,Kalmunai,LK,76.08,broken clouds,7.4167,81.8167,VS Villa
403,Miandrivazo,MG,77.9,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
405,Kyaiklat,MM,71.87,scattered clouds,16.4333,95.7333,Ayar San Girls Hostel
408,Catemaco,MX,69.55,scattered clouds,18.4167,-95.1167,Hotel Playa Cristal
412,Nakhon Si Thammarat,TH,77,light rain,8.25,100,ร้านไอซ์โมสีshop
413,Hohoe,GH,74.75,broken clouds,7.1518,0.4736,Agumatsa Falls Lodge
418,Iberia,US,66.27,clear sky,29.9502,-91.7507,back to back rv park
419,Weligama,LK,74.91,clear sky,5.9667,80.4167,Weligama Bay Resort
