City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Erenhot,CN,43.6475,111.9767,23.83,53,18,18.66,few clouds
153,Ribeira Grande,PT,38.5167,-28.7,64.56,80,64,7.07,broken clouds
154,Harlingen,US,26.1906,-97.6961,76.24,87,1,8.05,clear sky
155,Gerash,IR,27.6652,54.1371,48.34,61,37,0.63,scattered clouds
156,Tabou,CI,4.423,-7.3528,79.81,81,33,6.15,scattered clouds
157,Mount Gambier,AU,-37.8333,140.7667,60.71,82,90,11.5,overcast clouds
158,Vestmannaeyjar,IS,63.4427,-20.2734,36.0,94,100,31.5,overcast clouds
159,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,68,75,4.0,broken clouds
160,Swan River,CA,52.1058,-101.2676,30.09,86,88,6.91,light snow
161,Auki,SB,-8.7676,160.7034,83.97,74,100,5.26,overcast clouds
162,Fort Morgan,US,40.2503,-103.8,56.8,25,0,4.0,clear sky
163,Mackay,AU,-21.15,149.2,89.69,66,0,6.91,clear sky
164,Ribnica,SI,45.7386,14.7275,48.51,88,100,12.48,light rain
165,Codrington,AU,-38.2667,141.9667,66.22,73,87,7.81,overcast clouds
166,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,11.5,few clouds
167,Hobyo,SO,5.3505,48.5268,78.66,68,77,15.19,broken clouds
168,Haverfordwest,GB,51.8017,-4.9691,42.17,92,83,16.06,broken clouds
169,Besikduzu,TR,41.052,39.2284,49.89,85,84,3.71,light rain
170,Buala,SB,-8.145,159.5921,86.61,64,91,2.24,overcast clouds
171,Jaru,BR,-10.4389,-62.4664,73.29,97,100,3.94,heavy intensity rain
172,Nova Russas,BR,-4.7067,-40.5631,85.62,50,79,9.84,broken clouds
173,Port-Gentil,GA,-0.7193,8.7815,78.78,83,100,6.02,light rain
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.75,94,10,8.81,clear sky
175,Coihaique,CL,-45.5752,-72.0662,45.21,76,75,9.22,light intensity shower rain
176,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,68,0,20.71,clear sky
177,Lata,PT,40.1629,-8.3327,52.21,92,100,6.15,overcast clouds
178,Tura,IN,25.5198,90.2201,61.84,68,31,3.71,scattered clouds
179,Ilulissat,GL,69.2167,-51.1,32.58,60,100,17.52,light snow
180,Yarim,YE,14.298,44.3779,43.88,44,0,0.98,clear sky
181,Biak,ID,-0.9131,122.8766,78.3,81,100,6.06,overcast clouds
182,Aasiaat,GL,68.7098,-52.8699,31.71,74,100,8.08,light snow
183,Touros,BR,-5.1989,-35.4608,81.5,74,79,11.01,broken clouds
184,Oranjestad,AW,12.524,-70.027,80.55,89,20,6.91,few clouds
185,Barberton,ZA,-25.7884,31.0532,68.05,86,53,3.29,broken clouds
186,Batagay,RU,67.6333,134.6333,-42.68,100,97,0.67,overcast clouds
187,Yeniseysk,RU,58.4497,92.1703,23.74,89,100,7.7,overcast clouds
188,Udachnyy,RU,66.4167,112.4,-13.58,98,100,4.92,overcast clouds
189,Thompson,CA,55.7435,-97.8558,-0.24,78,90,8.05,light snow
190,Vila Velha,BR,-20.3297,-40.2925,76.95,93,90,4.61,overcast clouds
191,Alice Springs,AU,-23.7,133.8833,92.75,14,1,9.22,clear sky
192,Lorengau,PG,-2.0226,147.2712,85.75,67,99,2.91,overcast clouds
193,Khuzhir,RU,53.1939,107.3397,20.52,61,67,12.26,broken clouds
194,Puerto Carreno,CO,6.189,-67.4859,81.52,71,99,13.51,moderate rain
195,Fernie,CA,49.5,-115.0687,52.77,84,100,14.85,overcast clouds
196,Sangar,RU,63.9242,127.4739,-31.9,96,23,3.2,few clouds
197,Guerrero Negro,MX,27.9769,-114.0611,69.62,59,0,9.75,clear sky
198,Khatanga,RU,71.9667,102.5,-37.7,100,96,1.97,overcast clouds
199,Stepnoye,RU,51.4,46.8667,26.76,90,60,8.55,broken clouds
200,Muroto,JP,33.2833,134.15,46.44,55,14,2.55,few clouds
201,Faya,SA,18.3851,42.4509,48.31,54,1,3.49,clear sky
