City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Alta Floresta,BR,-9.8756,-56.0861,74.14,93,100,0.51,moderate rain
133,Makakilo City,US,21.3469,-158.0858,79.12,67,90,10.36,light rain
134,San Patricio,US,28.017,-97.5169,74.05,41,49,4.79,scattered clouds
135,Lebu,CL,-37.6167,-73.65,56.53,79,81,18.81,broken clouds
136,Limon,CR,10.0,-83.0333,76.89,88,90,5.75,overcast clouds
137,Luderitz,NA,-26.6481,15.1594,61.0,88,0,11.92,clear sky
138,Dryden,CA,49.7833,-92.7503,25.09,93,90,6.91,overcast clouds
139,Kavaratti,IN,10.5669,72.642,80.89,79,91,12.39,overcast clouds
140,Whitehorse,CA,60.7161,-135.0538,9.1,84,90,2.3,overcast clouds
141,Ilhabela,BR,-23.7781,-45.3581,73.99,89,95,3.85,overcast clouds
142,Konya,TR,38.1667,32.5,56.68,42,70,26.91,broken clouds
143,Longonjo,AO,-12.9067,15.2533,63.32,97,100,1.88,moderate rain
144,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,19.57,light snow
145,Porto Novo,BJ,6.4965,2.6036,80.42,80,95,6.62,overcast clouds
146,Jundiai,BR,-23.1864,-46.8842,86.09,85,73,3.31,broken clouds
147,Bethel,US,41.3712,-73.414,38.48,69,90,3.0,overcast clouds
148,Gumdag,TM,39.2061,54.5906,53.01,49,6,7.52,clear sky
149,Ouallam,NE,14.3188,2.0866,79.68,11,49,8.72,scattered clouds
150,Saint George,US,37.1041,-113.5841,77.47,22,1,3.0,clear sky
151,Ormara,PK,25.2088,64.6357,76.75,42,0,6.2,clear sky
152,Yellowknife,CA,62.456,-114.3525,-12.59,82,20,3.0,few clouds
153,Nikolskoye,RU,59.7035,30.7861,24.4,95,100,10.96,light snow
154,Giyon,ET,8.5333,37.9833,56.61,38,76,12.59,broken clouds
155,Port Lincoln,AU,-34.7333,135.8667,72.0,46,78,9.26,broken clouds
156,Bambanglipuro,ID,-7.95,110.2833,74.75,86,86,2.33,overcast clouds
157,Horta,PT,38.5333,-28.6333,58.64,67,20,6.91,few clouds
158,Madimba,TZ,-10.4,40.3333,77.34,86,2,5.82,clear sky
159,Bonavista,CA,48.6499,-53.1147,39.11,87,87,9.06,overcast clouds
160,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,20,4.61,few clouds
161,Kathu,TH,7.9178,98.3332,73.22,87,100,6.89,moderate rain
162,Vikersund,NO,59.9659,9.995,24.55,71,100,1.36,overcast clouds
163,At-Bashi,KG,41.1702,75.8106,12.18,68,3,2.53,clear sky
164,Zhanakorgan,KZ,43.9098,67.2495,39.7,29,90,3.71,overcast clouds
165,Cayenne,GF,4.9333,-52.3333,82.09,82,0,3.0,clear sky
166,San Rafael,AR,-34.6177,-68.3301,84.69,17,1,11.12,clear sky
167,Buckeye,US,33.3703,-112.5838,84.29,17,0,3.44,clear sky
168,Iqaluit,CA,63.7506,-68.5145,13.73,78,90,17.0,light snow
169,Abu Kamal,SY,34.4506,40.9171,63.01,47,60,3.13,broken clouds
170,Rudbar,AF,30.15,62.6,59.29,33,99,1.41,overcast clouds
171,San Pedro,PH,14.35,121.0167,79.83,89,20,0.0,few clouds
172,Omboue,GA,-1.5746,9.2618,77.41,90,100,5.86,moderate rain
173,Borovskoy,KZ,53.8,64.15,13.05,89,8,6.08,clear sky
174,Eregli,TR,37.5133,34.0467,62.51,34,100,22.57,overcast clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,75,62,5.32,broken clouds
176,Jumla,NP,29.2747,82.1838,40.78,19,37,5.5,scattered clouds
177,Taoudenni,ML,22.6783,-3.9836,65.55,12,67,16.44,broken clouds
178,Pinega,RU,64.7001,43.3936,3.04,99,100,3.29,overcast clouds
179,Ouadda,CF,8.0777,22.4007,76.51,35,99,5.32,overcast clouds
180,Fortuna,US,40.5982,-124.1573,57.85,100,90,8.05,overcast clouds
181,Longyearbyen,SJ,78.2186,15.6401,8.44,72,20,19.57,few clouds
182,Kristiinankaupunki,FI,62.2743,21.376,16.45,87,8,8.9,clear sky
183,Tuatapere,NZ,-46.1333,167.6833,56.82,63,100,4.61,overcast clouds
184,Swift Current,CA,50.2834,-107.8014,40.01,93,1,2.3,clear sky
185,Bintulu,MY,3.1667,113.0333,73.81,94,40,5.01,scattered clouds
186,Pemangkat,ID,1.1667,108.9667,76.44,85,98,5.1,overcast clouds
187,Kota Tinggi,MY,1.7381,103.8999,80.64,89,100,3.36,overcast clouds
188,Nantai,CN,40.9241,122.8044,27.7,95,100,11.03,light snow
189,Acajutla,SV,13.5928,-89.8275,93.54,51,1,4.16,clear sky
190,Ilulissat,GL,69.2167,-51.1,32.02,93,100,2.3,light snow
191,Butaritari,KI,3.0707,172.7902,81.37,80,55,11.01,light rain
192,Carnarvon,AU,-24.8667,113.6333,68.07,83,0,18.41,clear sky
193,Strezhevoy,RU,60.7333,77.5889,24.78,93,100,11.23,overcast clouds
194,Hermiston,US,45.8404,-119.2895,64.9,57,1,10.36,clear sky
195,Linxia,CN,35.6003,103.2064,20.91,62,1,2.84,clear sky
196,Peniche,PT,39.3558,-9.3811,57.61,72,99,7.02,overcast clouds
197,Atuona,PF,-9.8,-139.0333,78.89,76,25,22.82,scattered clouds
198,Ahuatempan,MX,18.4167,-98.0167,72.16,39,8,12.1,clear sky
199,Rawson,AR,-43.3002,-65.1023,62.02,52,1,13.38,clear sky
200,Victor Harbor,AU,-35.5667,138.6167,80.8,35,34,8.14,scattered clouds
201,Bereda,ES,43.2686,-7.5406,46.92,100,95,1.5,overcast clouds
202,Hambantota,LK,6.1241,81.1185,77.0,87,85,4.76,overcast clouds
203,Mahon,ES,39.8885,4.2658,48.76,76,40,2.3,scattered clouds
204,Grootfontein,NA,-19.5667,18.1167,72.97,53,84,4.61,broken clouds
205,Mar Del Plata,AR,-38.0023,-57.5575,62.62,90,75,14.0,broken clouds
206,Nishihara,JP,26.1842,127.7558,70.88,78,75,10.36,broken clouds
207,Zelenogradsk,RU,54.9589,20.4767,38.97,67,75,24.0,broken clouds
208,Mach,PK,29.8637,67.3298,54.75,34,64,1.66,broken clouds
209,Kailua,US,21.4022,-157.7394,80.58,68,40,25.32,light rain
210,Gulariya,NP,28.2333,81.3333,58.35,71,74,3.09,broken clouds
211,Dingle,PH,10.9995,122.6711,74.43,92,48,5.41,scattered clouds
212,Paamiut,GL,61.994,-49.6678,32.52,97,100,31.03,snow
213,Baykit,RU,61.67,96.37,1.69,98,100,3.49,light snow
